항만,입항선박수,입항선박톤수,출항선박수,출항선박톤수
부산,7301 ,105138280 ,7409 ,103857903 
인천,2715 ,30716710 ,2716 ,30779186 
평택.당진,1558 ,23153226 ,1536 ,22778109 
경인항,28 ,126236 ,27 ,128344 
동해.묵호,552 ,4202603 ,546 ,4039929 
삼척,186 ,589721 ,189 ,599042 
속초,15 ,6631 ,17 ,7887 
옥계,164 ,572269 ,167 ,584674 
호산,14 ,976358 ,13 ,890153 
대산,1333 ,10800292 ,1324 ,10944114 
보령,65 ,1324916 ,62 ,1286459 
태안,52 ,1178735 ,55 ,1254622 
군산,528 ,6688062 ,525 ,7176882 
장항,81 ,73959 ,81 ,74734 
목포,1040 ,5028247 ,1074 ,6095534 
완도,304 ,161468 ,305 ,161830 
여수,1198 ,14020047 ,1192 ,13675603 
광양,4050 ,58637066 ,4078 ,59036910 
포항,967 ,8539680 ,947 ,8384609 
마산,1313 ,7303157 ,1314 ,7256552 
삼천포,222 ,1692380 ,221 ,1686756 
옥포,422 ,948019 ,426 ,1973951 
장승포,3 ,804 ,3 ,804 
진해,717 ,1354918 ,732 ,1363052 
통영,178 ,57992 ,180 ,57730 
고현,587 ,1375796 ,583 ,1568294 
하동,58 ,1466025 ,57 ,1450058 
울산,4145 ,35473276 ,4164 ,36972802 
제주,885 ,6989606 ,881 ,6983864 
서귀포,140 ,196567 ,141 ,196683 
