측정일시,측정소명,이산화질소농도,오존농도,일산화탄소농도,아황산가스,미세먼지,초미세먼지
20160606,강남구,0.02,0.041,0.2,0.004,23,15
20160606,강동구,0.012,0.04,0.3,0.004,24,16
20160606,강변북로,0.046,0.025,0.3,0.004,28,15
20160606,강북구,0.02,0.044,0.3,0.002,16,12
20160606,강서구,0.023,0.029,0.3,0.005,33,22
20160606,공항로,0.03,0.022,0.5,0.006,37,22
20160606,관악구,0.017,0.052,0.4,0.004,30,18
20160606,광진구,0.018,0.043,0.3,0.004,20,11
20160606,구로구,0.018,0.034,0.4,0.006,32,20
20160606,금천구,0.022,0.047,0.3,0.003,26,17
20160606,길동,0.016,0.047,0.2,0.003,19,16
20160606,내부순환,0.027,0.03,0.4,0.006,29,16
20160606,노원구,0.018,0.04,0.3,0.006,18,12
20160606,도봉구,0.022,0.042,0.2,0.004,26,16
20160606,동대문구,0.018,0.04,0.4,0.005,23,13
20160606,동작구,0.02,0.041,0.3,0.004,24,14
20160606,동작대로,0.042,0.03,0.4,0.004,34,25
20160606,마포구,0.02,0.048,0.4,0.004,24,17
20160606,서대문구,0.015,0.051,0.2,0.003,25,16
20160606,서울역,0.025,0.046,0.3,0.004,30,16
20160606,서초구,0.015,0.046,0.3,0.003,21,14
20160606,성동구,,,,,,
20160606,성북구,0.024,0.035,0.3,0.005,30,13
20160606,송파구,0.015,0.047,0.3,0.004,22,14
20160606,신사동,0.035,0.036,0.6,0.004,23,14
20160606,신촌,0.027,0.028,0.4,0.004,34,18
20160606,양재대로,0.051,0.02,0.5,0.001,34,20
20160606,양천구,0.027,0.042,0.4,0.004,28,16
20160606,영등포,0.048,0.021,0.3,0.007,37,21
20160606,영등포구,0.022,0.042,0.5,0.004,37,23
20160606,용산구,0.019,0.048,0.3,0.004,23,13
20160606,은평구,0.026,0.039,0.3,0.004,26,15
20160606,종로,0.044,0.023,0.4,0.004,23,14
20160606,종로구,0.019,0.033,0.2,0.004,20,12
20160606,중구,0.026,0.042,0.4,0.002,23,15
20160606,중랑구,0.016,0.044,0.2,0.005,26,15
20160606,청계천,0.029,0.039,0.3,0.01,22,8
20160606,청량리,0.029,0.037,0.4,0.007,25,16
20160606,태릉,0.052,0.019,0.6,0.003,35,17
20160605,강남구,0.031,0.043,0.4,0.005,53,33
20160605,강동구,0.026,0.038,0.4,0.004,51,30
20160605,강변북로,0.064,0.023,0.5,0.005,57,29
20160605,강북구,0.021,0.058,0.4,0.003,41,23
20160605,강서구,0.022,0.041,0.3,0.005,56,31
20160605,공항로,0.034,0.027,0.6,0.006,56,32
20160605,관악구,0.031,0.054,0.5,0.004,52,31
20160605,광진구,0.03,0.043,0.5,0.003,46,27
20160605,구로구,0.023,0.04,0.5,0.006,58,32
20160605,금천구,0.034,0.05,0.5,0.004,45,28
20160605,길동,0.041,0.035,0.4,0.004,42,26
20160605,내부순환,0.033,0.04,0.4,0.006,58,26
20160605,노원구,0.019,0.048,0.4,0.006,35,22
20160605,도봉구,0.02,0.057,0.3,0.004,51,28
20160605,동대문구,0.028,0.042,0.5,0.005,52,27
20160605,동작구,0.032,0.044,0.5,0.004,46,25
20160605,동작대로,0.066,0.029,0.7,0.004,70,42
20160605,마포구,0.028,0.058,0.5,0.004,50,30
