연번,시군,지정구분,기업명,대표자,소  재  지,주생산품,전화번호(061),"비고
(지정번호)"
1,목포시,기술유망,브로드컴㈜,이봉헌,목포시 석현동 1175(벤처지원 202),정보통신,284-0017,11-1
2,목포시,기술유망,㈜케이에스,김시오,목포시 연산동1236-3,용접철망외,1588-4118,11-2
3,목포시,기술유망,삼진물산(주),김관석,목포시 연산동 1239-1,참치통조림,270-6113,11-3
4,목포시,기술유망,㈜혜성,전재두,목포시 연산동1237-3,가드레일외,1588-2811,11-4
5,목포시,기술유망,(유)한국메이드,이승룡,목포시 연산동 1238-4,선박블록,278-4411,11-5
6,목포시,수출유망,환길산업,박승남,목포시 산정동 1780-1,해초류,272-7147,11-6
7,목포시,수출유망,㈜세광조선,유재억,목포시 연산동 1255,강선건조,277-6111,11-7
8,목포시,수출유망,선일물산,김태한,목포시 연산동 1236-11,조미김,273-6750,11-8
9,목포시,기술유망,(유)메이드거금,이승룡,목포시 연산동 1291(삽진산단),절  단,277-4418,11-9
10,목포시,기술유망,맘키드크래프트,김명효,목포시 석현동 1175(문화지원 302),도자관광상품,287-1155,11-10
11,목포시,기술유망,(유)신안산업개발,문용희,목포시 연산동 1237-10 ,"수문,권양기종",245-5524,11-11
12,목포시,기술유망,(주)젠트정보기술,김광진,목포시 석현동 1175(벤처지원 105),소프트웨어,284-0045,11-12
13,목포시,기술유망,에스엠소프트웨어㈜,박영임,목포시 석현동 1175(벤처지원 204),태양광솔루션,285-3411,11-13
14,목포시,수출유망,㈜맥스코리아,추봉식,목포시 연산동 1247-2,광고물부착방지물,272-5164,11-14
15,목포시,기술유망,(유)한국엔지니어링,김삼성,목포시 연산동 1294(삽진산단),선박엔진부품외,278-6777,11-15
16,목포시,수출유망,㈜대창식품,정현택,목포시 연산동 1236-15,맛김,278-4426,11-16
17,목포시,기술유망,뉴21커뮤니티㈜,박선민,목포시 석현동 1175(문화지원센터 101),"홈페이지용역, 특산품판매(G-market등)",1644-9501,12-1
18,목포시,지역특화,㈜마스타마린조선,이경준,목포시 연산동 1280,보트,273-5778,12-53
19,목포시,기술유망,삼성마리너,김치형,목포시 연산동 1280-9(삽진산단),유압양망기,279-4900,13-1
20,목포시,기술유망,(주)휴먼아이티솔루션,최봉두,목포시 석현동 1175(벤처지원센터),컴퓨터 프로그래밍,287-6633,13-2
21,여수시,수출유망,오천산업㈜,조인순,여수 만흥동 8-4,"수산물
건조가공품",651-9409,11-17
22,여수시,기술유망,㈜대경엠앤아이,김학태,여수 월하동 6-6,"설치용 
금속탱크",686-0700,11-18
23,여수시,기술유망,재원산업㈜,심장섭,여수 낙포동 159-3,유기화학물,690-9222,11-19
24,여수시,기술유망,유한기술㈜,장승혁,여수 중흥동 1480,"증류기,
열교환기",685-7550,11-20
25,여수시,기술유망,㈜에스에프시,"이정석
홍정구",여수 화치동 국가산업단지11-04-0007,계면활성제,692-8300,11-21
26,여수시,수출유망,영신수산㈜,김방심,여수 돌산읍 우두리 755-11,"수산물
냉동가공품",644-3030,11-22
27,여수시,기술유망,㈜피오씨,최병삼,여수 소호동 1198-7,"기술용역,
항만운송",652-6819,11-23
28,여수시,기술유망,㈜한국환경사업단,최영기,여수 월내동 324-4,화학제품,686-7066,11-24
29,여수시,기술유망,화성엔지니어링,김창규,여수 국동 37-144,"선박구성
부분품",642-3530,11-25
30,여수시,지역특화,㈜전라도백서방김치,백봉준,여수 만흥동 8-1,김치가공품,653-8859,11-26
31,여수시,기술유망,삼흥물산,이미경,여수 만흥동 9-1,"해조류
가공품",683-9688,11-27
32,여수시,기술유망,㈜한진산업,곽한용,여수 만흥동 9-9,동물성유지,651-9812,11-28
33,여수시,수출유망,영해산업,박정문,여수 소라면 복산리1050,"해조류
가공품",685-1419,11-29
34,여수시,수출유망,㈜나래식품,김금진,여수 돌산읍 평사리 1363-14,"수산물
가공품",644-8666,11-30
35,여수시,지역특화,우남수산,박석남,여수 만흥동 10-3,수산식품,651-9962,11-31
36,여수시,수출유망,일양화학㈜,정진일,여수 주삼동 569-1,"무기
화학제품",683-2201,11-32
37,여수시,기술유망,㈜국보수산,김갑온,여수 오천동 177-4,"수산물
가공품",654-2556,11-33
